Sigurður Hafsteinn Jónsson,Male,26,175 cm,90 kg,2:17,--,1:34,--,423,--,--,153,125,240,215,--
Jak Cornthwaite,Male,25,179 cm,92 kg,--,--,--,--,--,--,--,--,--,--,--,--
Lukasz Trzonkowski,Male,33,179 cm,94 kg,2:16,--,--,--,--,--,21:28,160,126,260,220,61
Mahmood Shalan,Male,23,178 cm,188 lb,2:29,--,--,--,--,--,--,315,225,500,395,--
Marc Ordeig,Male,28,176 cm,86 kg,--,--,--,--,--,--,--,--,105,200,170,--
Klaus Hebo Uggerhøj,Male,25,176 cm,190 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,140,112,220,188,--
Oscar Andersson,Male,27,181 cm,90 kg,--,--,--,--,--,--,--,--,--,--,--,--
Billy Pullen,Male,24,178 cm,84 kg,2:07,6:53,1:46,--,--,--,--,150,115,230,190,--
Alec Harwood,Male,27,175 cm,92 kg,0:00,0:00,0:00,0:00,--,0:00,0:00,150,125,260,202,--
Mikko Aronpaa,Male,32,178 cm,92 kg,2:12,0:00,0:00,0:00,--,0:00,0:00,155,125,243,207,52
ates boran,Male,30,173 cm,169 lb,2:14,7:34,1:38,--,--,--,--,140,115,215,190,79
Maximilian Henze,Male,20,170 cm,170 lb,2:16,--,1:45,19:30,454,--,18:04,138,100,215,190,68
Jordan Wallace,Male,24,165 cm,152 lb,2:27,7:15,2:10,16:58,445,1:05,19:47,123,92,210,160,56
Mike Bjerregaard,Male,24,180 cm,190 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Alan Foulis,Male,30,175 cm,198 lb,2:45,--,1:57,19:45,367,0:58,23:04,145,109,215,190,39
Paweł Kozak,Male,26,183 cm,90 kg,2:45,--,1:42,--,--,--,18:30,140,110,200,170,55
Bartlomiej Lipka,Male,26,177 cm,183 lb,2:43,--,1:36,--,--,0:57,20:30,330,260,555,445,45
